query,dataset,run_number,vanilla_time_sec
query54.sql,tpcds,2,18.99
query55.sql,tpcds,2,13.99
query56.sql,tpcds,2,15.54
query57.sql,tpcds,2,14.79
query58.sql,tpcds,2,16.72
query59.sql,tpcds,2,16.94
query6.sql,tpcds,2,21.73
query60.sql,tpcds,2,16.80
query61.sql,tpcds,2,10.82
query62.sql,tpcds,2,14.40
query63.sql,tpcds,2,13.73
query64.sql,tpcds,2,37.01
query65.sql,tpcds,2,18.54
query66.sql,tpcds,2,16.80
query67.sql,tpcds,2,fail
query68.sql,tpcds,2,16.58
query69.sql,tpcds,2,11.92
query7.sql,tpcds,2,15.67
query70.sql,tpcds,2,15.56
query71.sql,tpcds,2,15.12
query72.sql,tpcds,2,35.84
query73.sql,tpcds,2,14.76
query74.sql,tpcds,2,28.45
query75.sql,tpcds,2,25.20
query76.sql,tpcds,2,14.97
query77.sql,tpcds,2,16.80
query78.sql,tpcds,2,35.23
query79.sql,tpcds,2,14.92
query8.sql,tpcds,2,14.92
query80.sql,tpcds,2,34.97
query81.sql,tpcds,2,15.27
query82.sql,tpcds,2,17.05
query83.sql,tpcds,2,15.51
query84.sql,tpcds,2,13.98
query85.sql,tpcds,2,17.85
query86.sql,tpcds,2,13.66
query87.sql,tpcds,2,19.55
query88.sql,tpcds,2,17.32
query89.sql,tpcds,2,14.68
query9.sql,tpcds,2,15.15
query90.sql,tpcds,2,12.51
query91.sql,tpcds,2,13.34
query92.sql,tpcds,2,14.84
query93.sql,tpcds,2,31.25
query94.sql,tpcds,2,20.53
query95.sql,tpcds,2,25.77
query96.sql,tpcds,2,12.36
query97.sql,tpcds,2,19.70
query98.sql,tpcds,2,14.22
query99.sql,tpcds,2,13.72
1.sql,tpch,3,32.01
10.sql,tpch,3,22.73
11.sql,tpch,3,12.47
12.sql,tpch,3,18.42
13.sql,tpch,3,18.10
14.sql,tpch,3,14.77
15.sql,tpch,3,17.86
16.sql,tpch,3,18.90
17.sql,tpch,3,34.11
18.sql,tpch,3,33.13
19.sql,tpch,3,15.54
2.sql,tpch,3,15.44
20.sql,tpch,3,16.69
21.sql,tpch,3,33.59
22.sql,tpch,3,16.65
3.sql,tpch,3,21.81
4.sql,tpch,3,27.57
5.sql,tpch,3,26.04
6.sql,tpch,3,11.75
7.sql,tpch,3,28.02
8.sql,tpch,3,24.56
9.sql,tpch,3,32.39
query1.sql,tpcds,3,16.31
query10.sql,tpcds,3,16.44
query11.sql,tpcds,3,27.38
query12.sql,tpcds,3,14.42
query13.sql,tpcds,3,14.44
query14.sql,tpcds,3,fail
query15.sql,tpcds,3,15.12
query16.sql,tpcds,3,15.95
query17.sql,tpcds,3,29.81
query18.sql,tpcds,3,16.29
query19.sql,tpcds,3,14.35
query2.sql,tpcds,3,14.43
query20.sql,tpcds,3,13.56
query21.sql,tpcds,3,14.14
query22.sql,tpcds,3,14.04
query23.sql,tpcds,3,fail
query24.sql,tpcds,3,fail
query25.sql,tpcds,3,29.41
query26.sql,tpcds,3,14.36
query27.sql,tpcds,3,15.42
query28.sql,tpcds,3,20.67
query29.sql,tpcds,3,29.05
query3.sql,tpcds,3,12.79
query30.sql,tpcds,3,fail
query31.sql,tpcds,3,19.33
query32.sql,tpcds,3,13.88
query33.sql,tpcds,3,16.62
