query,dataset,avg_vanilla_time,avg_listener_register_time,avg_listener_bare_time,avg_listener_nowrite_time,avg_listener_full_time,overhead_register,overhead_bare,overhead_nowrite,overhead_write,total_overhead,clipped,overhead_register_pct,overhead_bare_pct,overhead_nowrite_pct,overhead_write_pct,listener_overhead_pct
1.sql,tpch,31.627777777777776,33.00111111111111,32.556666666666665,32.90111111111111,33.26444444444444,1.3733333333333313,0.0,0.34444444444444855,0.36333333333332973,1.6366666666666667,False,83.91038696537666,0.0,21.045485403937793,22.19959266802422,5.174776040751801
10.sql,tpch,22.153333333333332,24.209999999999997,24.253333333333334,23.482222222222223,23.413333333333334,2.056666666666665,0.043333333333336554,0.0,0.0,1.2600000000000016,False,163.22751322751287,3.439153439153691,0.0,0.0,5.687631658140242
11.sql,tpch,12.286666666666667,13.343333333333334,13.446666666666665,13.447777777777778,14.211111111111112,1.0566666666666666,0.10333333333333172,0.0011111111111130612,0.7633333333333336,1.924444444444445,False,54.90762124711315,5.369515011547259,0.05773672055437382,39.66512702078522,15.662868511484904
12.sql,tpch,19.20111111111111,20.864444444444445,20.514444444444443,19.912222222222223,20.79222222222222,1.663333333333334,0.0,0.0,0.879999999999999,1.5911111111111111,False,104.53910614525144,0.0,0.0,55.30726256983234,8.286557490885944
13.sql,tpch,18.584444444444443,20.014444444444443,20.102222222222224,19.89333333333333,19.98888888888889,1.4299999999999997,0.08777777777778084,0.0,0.09555555555555983,1.4044444444444473,False,101.81962025316433,6.250000000000205,0.0,6.8037974683547215,7.557096735621204
14.sql,tpch,15.517777777777777,16.52777777777778,16.94888888888889,16.671111111111113,16.47,1.0100000000000016,0.421111111111113,0.0,0.0,0.9522222222222219,False,106.0676779463246,44.2240373395568,0.0,0.0,6.136331089789486
15.sql,tpch,16.74777777777778,18.586666666666666,18.450000000000003,18.060000000000002,18.75111111111111,1.838888888888885,0.0,0.0,0.691111111111109,2.0033333333333303,False,91.79145867997775,0.0,0.0,34.498058790904,11.961785974922027
16.sql,tpch,17.880000000000003,19.00111111111111,18.996666666666666,19.254444444444445,19.276666666666667,1.1211111111111087,0.0,0.257777777777779,0.022222222222222143,1.3966666666666647,False,80.2704852824184,0.0,18.45664280031833,1.5910898965791533,7.8113348247576315
17.sql,tpch,34.488888888888894,35.85888888888889,36.086666666666666,36.51111111111111,36.45666666666667,1.3699999999999974,0.2277777777777743,0.42444444444444684,0.0,1.9677777777777763,False,69.62168266516085,11.575381140598365,21.56973461321301,0.0,5.705541237113397
18.sql,tpch,35.27666666666667,36.25333333333333,36.66111111111111,36.40888888888889,36.44888888888889,0.9766666666666595,0.4077777777777811,0.0,0.03999999999999915,1.1722222222222172,False,83.31753554502345,34.78672985782034,0.0,3.412322274881459,3.322939305174952
19.sql,tpch,15.391111111111112,16.78,16.66111111111111,16.49111111111111,16.91888888888889,1.3888888888888893,0.0,0.0,0.4277777777777807,1.5277777777777786,False,90.90909090909088,0.0,0.0,28.000000000000174,9.92636442390991
2.sql,tpch,16.799999999999997,18.43777777777778,18.63111111111111,18.54111111111111,18.817777777777778,1.6377777777777816,0.19333333333333158,0.0,0.2766666666666673,2.0177777777777806,False,81.16740088105733,9.581497797356727,0.0,13.711453744493404,12.010582010582029
20.sql,tpch,17.89888888888889,19.29222222222222,19.337777777777777,19.41111111111111,19.53,1.3933333333333309,0.04555555555555557,0.07333333333333414,0.11888888888888971,1.6311111111111103,False,85.42234332425058,2.792915531335152,4.495912806539561,7.288828337874713,9.112918244459612
21.sql,tpch,34.3,36.05111111111111,35.67888888888889,35.64111111111111,35.75888888888889,1.7511111111111148,0.0,0.0,0.11777777777778198,1.4588888888888931,False,120.03046458491993,0.0,0.0,8.073115003808336,4.253320375769368
22.sql,tpch,15.864444444444445,16.966666666666665,16.84777777777778,17.206666666666667,17.268888888888892,1.1022222222222204,0.0,0.35888888888888815,0.06222222222222484,1.4044444444444473,False,78.48101265822757,0.0,25.55379746835433,4.43037974683562,8.852780501470813
3.sql,tpch,22.981111111111108,23.98,23.928888888888892,24.14333333333333,24.885555555555555,0.9988888888888923,0.0,0.2144444444444389,0.7422222222222246,1.9044444444444473,False,52.45040840140033,0.0,11.260210035005526,38.97316219369901,8.286998984673415
4.sql,tpch,22.443333333333335,23.376666666666665,22.91444444444444,22.76,27.20888888888889,0.93333333333333,0.0,0.0,4.448888888888888,4.765555555555554,False,19.58498484495214,0.0,0.0,93.35509442760551,21.233724441804043
5.sql,tpch,31.45888888888889,33.15555555555555,31.06666666666667,33.62111111111111,32.31111111111111,1.6966666666666619,0.0,2.5544444444444423,0.0,0.8522222222222204,False,199.08735332464133,0.0,299.7392438070408,0.0,2.7090029315155526
