query,dataset,run_number,vanilla_time_sec
query33.sql,tpcds,2,16.77
query34.sql,tpcds,2,14.09
query35.sql,tpcds,2,17.14
query36.sql,tpcds,2,14.48
query37.sql,tpcds,2,15.50
query38.sql,tpcds,2,19.47
query39.sql,tpcds,2,fail
query4.sql,tpcds,2,39.44
query40.sql,tpcds,2,20.11
query41.sql,tpcds,2,10.29
query42.sql,tpcds,2,12.56
query43.sql,tpcds,2,13.10
query44.sql,tpcds,2,15.31
query45.sql,tpcds,2,13.98
query46.sql,tpcds,2,14.80
query47.sql,tpcds,2,19.40
query48.sql,tpcds,2,15.07
query49.sql,tpcds,2,20.95
query5.sql,tpcds,2,19.32
query50.sql,tpcds,2,21.88
query51.sql,tpcds,2,23.45
query52.sql,tpcds,2,12.78
query53.sql,tpcds,2,14.36
query54.sql,tpcds,2,18.32
query55.sql,tpcds,2,14.22
query56.sql,tpcds,2,15.72
query57.sql,tpcds,2,14.89
query58.sql,tpcds,2,17.35
query59.sql,tpcds,2,16.92
query6.sql,tpcds,2,23.59
query60.sql,tpcds,2,16.02
query61.sql,tpcds,2,10.34
query62.sql,tpcds,2,14.43
query63.sql,tpcds,2,13.96
query64.sql,tpcds,2,36.53
query65.sql,tpcds,2,19.30
query66.sql,tpcds,2,15.82
query67.sql,tpcds,2,fail
query68.sql,tpcds,2,15.40
query69.sql,tpcds,2,11.86
query7.sql,tpcds,2,15.62
query70.sql,tpcds,2,15.73
query71.sql,tpcds,2,14.57
query72.sql,tpcds,2,37.31
query73.sql,tpcds,2,14.68
query74.sql,tpcds,2,27.38
query75.sql,tpcds,2,25.79
query76.sql,tpcds,2,15.05
query77.sql,tpcds,2,16.90
query78.sql,tpcds,2,36.61
query79.sql,tpcds,2,14.41
query8.sql,tpcds,2,15.04
query80.sql,tpcds,2,33.88
query81.sql,tpcds,2,15.67
query82.sql,tpcds,2,16.49
query83.sql,tpcds,2,15.01
query84.sql,tpcds,2,14.09
query85.sql,tpcds,2,17.97
query86.sql,tpcds,2,13.90
query87.sql,tpcds,2,20.21
query88.sql,tpcds,2,17.23
query89.sql,tpcds,2,15.05
query9.sql,tpcds,2,14.91
query90.sql,tpcds,2,12.54
query91.sql,tpcds,2,13.03
query92.sql,tpcds,2,13.48
query93.sql,tpcds,2,27.42
query94.sql,tpcds,2,19.84
query95.sql,tpcds,2,25.97
query96.sql,tpcds,2,11.86
query97.sql,tpcds,2,20.04
query98.sql,tpcds,2,15.13
query99.sql,tpcds,2,14.36
1.sql,tpch,3,32.93
10.sql,tpch,3,21.34
11.sql,tpch,3,12.23
12.sql,tpch,3,18.29
13.sql,tpch,3,18.91
14.sql,tpch,3,15.39
15.sql,tpch,3,16.96
16.sql,tpch,3,17.12
17.sql,tpch,3,34.49
18.sql,tpch,3,34.34
19.sql,tpch,3,14.95
2.sql,tpch,3,15.48
20.sql,tpch,3,16.10
21.sql,tpch,3,33.46
22.sql,tpch,3,14.61
3.sql,tpch,3,19.68
4.sql,tpch,3,25.91
5.sql,tpch,3,27.71
6.sql,tpch,3,11.98
7.sql,tpch,3,29.29
8.sql,tpch,3,24.68
9.sql,tpch,3,31.09
query1.sql,tpcds,3,15.40
query10.sql,tpcds,3,15.81
query11.sql,tpcds,3,28.55
query12.sql,tpcds,3,14.09
query13.sql,tpcds,3,14.11
query14.sql,tpcds,3,fail
query15.sql,tpcds,3,14.44
query16.sql,tpcds,3,16.19
query17.sql,tpcds,3,30.57
query18.sql,tpcds,3,15.98
query19.sql,tpcds,3,14.21
query2.sql,tpcds,3,14.86
query20.sql,tpcds,3,13.57
query21.sql,tpcds,3,13.76
query22.sql,tpcds,3,15.02
query23.sql,tpcds,3,fail
query24.sql,tpcds,3,fail
query25.sql,tpcds,3,28.72
query26.sql,tpcds,3,14.47
query27.sql,tpcds,3,15.91
query28.sql,tpcds,3,20.28
query29.sql,tpcds,3,29.76
query3.sql,tpcds,3,12.62
query30.sql,tpcds,3,fail
query31.sql,tpcds,3,20.56
query32.sql,tpcds,3,13.91
query33.sql,tpcds,3,16.21
query34.sql,tpcds,3,14.60
query35.sql,tpcds,3,17.50
query36.sql,tpcds,3,14.42
query37.sql,tpcds,3,15.11
query38.sql,tpcds,3,20.45
query39.sql,tpcds,3,fail
query4.sql,tpcds,3,37.56
query40.sql,tpcds,3,19.04
query41.sql,tpcds,3,10.58
