query_id,bytes_vod,t_vod,rows_vod,bytes_freq,t_freq,rows_freq,bytes_random,t_random,rows_random,bytes_plain,t_plain,rows_plain,value
48.sql,11437587,0.637289741,3635717927,3579567,0.362839176,3635717927,11437587,0.644797253,3635717927,11437587,0.624514626,3635717927,1
49.sql,15584886,0.55772599,7245908327,7582853,0.301267693,7245908327,15527822,0.58830879,7245908327,15527893,0.555241934,7245908327,1
50.sql,9345019,0.469274614,4096146176,8191042,0.450451732,4096146176,9344731,0.508279069,4096146176,9344731,0.491455425,4096146176,1
51.sql,7669841,2.839008874,4587666098,4152609,2.726045403,4587666098,7669089,3.903925475,4587666098,7669601,3.930526211,4587666098,1
52.sql,5970783,0.231368626,3604593049,1927941,0.081822781,3604593049,5970783,0.227719639,3604593049,5970783,0.231668435,3604593049,1
53.sql,7252674,0.310255752,3604593127,2707746,0.156280916,3604593127,7252674,0.307499927,3604593127,7252674,0.302823707,3604593127,1
54.sql,9154467,0.387220538,6392256274,5106749,0.237662045,6392256274,9154678,0.363143636,6392256274,9154995,0.372305918,6392256274,1
55.sql,5970783,0.233140965,3604593049,1924408,0.069532598,3604593049,5970783,0.243706772,3604593049,5970783,0.251861263,3604593049,1
56.sql,10801830,0.397194595,6391515147,5319313,0.258923289,6391515147,10801519,0.425746319,6391515147,10801294,0.412384868,6391515147,1
57.sql,2022381,0.40438075,1802353055,2021869,0.401047108,1802353055,2022637,0.390076339,1802353055,2022381,0.415157034,1802353055,1
58.sql,9049025,0.374393346,6390537441,4930962,0.303095835,6390537441,9050065,0.386199007,6390537441,9048017,0.399356997,6390537441,1
59.sql,5863864,0.765422892,3604699303,4834160,0.515102342,3604699303,5866157,0.758492506,3604699303,5865513,0.760445041,3604699303,1
60.sql,10844145,0.377728449,6391515147,5413796,0.273209795,6391515147,10841524,0.383348248,6391515147,10842576,0.390396346,6391515147,1
61.sql,10058419,0.590854439,7213514665,2095403,0.254025341,7213514665,10058419,0.59438094,7213514665,10058890,0.636170471,7213514665,1
62.sql,2316529,0.157094135,983113101,2315777,0.165990394,983113101,2315777,0.150970138,983113101,2315777,0.153454293,983113101,1
63.sql,7252657,0.289569157,3604593127,2707729,0.142652606,3604593127,7252657,0.270117155,3604593127,7252657,0.283458017,3604593127,1
64.sql,22783081,1.093662341,6290255676,12289982,0.82219232,6290255676,22782793,1.063742698,6290255676,22782793,1.090184419,6290255676,1
65.sql,7253980,0.828993683,7209146176,2688426,0.525410507,7209146176,7254492,0.840097744,7209146176,7253724,0.854573391,7209146176,1
66.sql,3880275,0.226527946,2785598950,5308831,0.256635848,2785598950,5309502,0.237940196,2785598950,5309565,0.247599646,2785598950,1
67.sql,8593199,2.943402543,3604593127,2966219,2.6333074,3604593127,8593199,2.9116767,3604593127,8593199,2.905176908,3604593127,1
68.sql,14212061,0.613398713,3607156327,8100192,0.417320645,3607156327,14212821,0.647406154,3607156327,14215125,0.622208631,3607156327,1
69.sql,7500916,0.314222328,6422875947,4789711,0.257843101,6422875947,7498411,0.331071707,6422875947,7497960,0.316776569,6422875947,1
70.sql,5863008,0.646498252,7209106254,2431936,0.385960066,7209106254,5862688,0.629412011,7209106254,5861728,0.620271459,7209106254,1
71.sql,10460436,0.518610104,6390105547,5470063,0.358033355,6390105547,10861762,0.486777137,6390105547,10860984,0.536400557,6390105547,1
72.sql,7515284,0.810096697,3471639564,7515284,0.838300229,3471639564,7515279,0.801103255,3471639564,7515279,0.80190056,3471639564,1
73.sql,8674311,0.300363265,3606292327,5085066,0.220771005,3606292327,8674300,0.303673613,3606292327,8674300,0.290999827,3606292327,1
74.sql,7711706,1.209300136,9182260196,4803882,1.21494311,9182260196,7707626,1.162950371,9182260196,7707370,1.162154165,9182260196,1
75.sql,14910995,1.113593358,7246028327,10322748,0.914768044,7246028327,14909976,1.07477326,7246028327,14908137,1.072958421,7246028327,1
76.sql,13300951,0.501439322,6390099147,12227616,0.440840773,6390099147,13323023,0.486416496,6390099147,13323627,0.486435991,6390099147,1
77.sql,11761124,0.500028482,7246128566,6436703,0.334852201,7246128566,11759828,0.481012904,7246128566,11759828,0.483947665,7246128566,1
78.sql,17646586,1.749309015,7245908327,9699266,1.536456698,7245908327,17645539,1.764506282,7245908327,17645539,1.773790098,7245908327,1
79.sql,12810180,0.531889813,3606292327,7603654,0.345404155,3606292327,12810172,0.523524527,3606292327,12810172,0.528020734,3606292327,1
80.sql,17230861,0.73427246,7246041382,7846536,0.456355946,7246041382,17230105,0.76407067,7246041382,17228797,0.750864861,7246041382,1
81.sql,325206,0.204159181,330349049,325206,0.21543486,330349049,325206,0.231337731,330349049,325206,0.192410507,330349049,1
82.sql,3362622,0.155473727,4915313049,3307027,0.146931594,4915313049,3363902,0.158020581,4915313049,3363902,0.160271639,4915313049,1
83.sql,907086,0.098616678,856706621,907086,0.100511793,856706621,906781,0.104898289,856706621,907037,0.099575548,856706621,1
84.sql,415359,0.095908137,524424020,415359,0.08977544,524424020,412939,0.093724661,524424020,412939,0.098692115,524424020,10
85.sql,3504576,0.543603397,1081740372,3503817,0.533333421,1081740372,3503817,0.548535168,1081740372,3503817,0.534613447,1081740372,1
86.sql,1721142,0.137337599,983153049,1720390,0.134395468,983153049,1720390,0.138055727,983153049,1720390,0.142209448,983153049,1
87.sql,7593592,0.704334705,6395175147,5193032,0.647109743,6395175147,7593864,0.715795135,6395175147,7592840,0.728375775,6395175147,1
88.sql,5861471,1.234578555,28836589424,5863214,1.230002141,28836589424,5860806,1.247222022,28836589424,5860468,1.239416861,28836589424,1
89.sql,7252422,0.3124053,3604593127,2702300,0.185066021,3604593127,7252422,0.315753332,3604593127,7252422,0.308866055,3604593127,1
90.sql,930388,0.07722116,1966268136,1717213,0.116318236,1966268136,1716685,0.113091085,1966268136,1716795,0.118939895,1966268136,100
91.sql,300007,0.082561511,360657055,300007,0.075710261,360657055,301538,0.08684359,360657055,301282,0.10941741,360657055,1
92.sql,1721290,0.148921186,1966266098,1719770,0.165088486,1966266098,1720026,0.144875315,1966266098,1721050,0.136993151,1966266098,1
93.sql,9381337,0.609959293,4096000075,9382999,0.614532527,4096000075,9381031,0.593386306,4096000075,9381031,0.581361813,4096000075,1
94.sql,3131407,0.185244187,2003314255,3130655,0.190822178,2003314255,3130655,0.19377956,2003314255,3130655,0.187958623,2003314255,1
95.sql,3131407,1.503859707,4952434255,3130655,1.446074218,4952434255,3130655,1.436605155,4952434255,3130655,1.408022503,4952434255,1
96.sql,5860220,0.168082263,3604573678,5861969,0.163823189,3604573678,5860212,0.165927217,3604573678,5860212,0.171218108,3604573678,1
97.sql,7721638,0.615403967,5406866098,4204646,0.480723831,5406866098,7722150,0.627206127,5406866098,7721638,0.611492588,5406866098,1
98.sql,5972217,0.301885791,3604593049,1858338,0.147544773,3604593049,5972217,0.294493077,3604593049,5972217,0.295661822,3604593049,1
99.sql,2292716,0.19123204,1802313081,2291948,0.186904252,1802313081,2292716,0.187412636,1802313081,2292716,0.185193682,1802313081,1
