query_id,bytes_vod,t_vod,rows_vod,bytes_freq,t_freq,rows_freq,bytes_random,t_random,rows_random,bytes_plain,t_plain,rows_plain,value
01.sql,742781,0.149981005,493325127,742781,0.124852828,493325127,742493,0.130467614,493325127,742493,0.153104865,493325127,1
02.sql,4039749,0.512449854,2785499147,4039970,0.486667797,2785499147,4039202,0.495520066,2785499147,4038997,0.507491636,2785499147,1
03.sql,5971536,0.273139204,3604593049,4935483,0.199565479,3604593049,5971540,0.253748625,3604593049,5971540,0.274685156,3604593049,1
04.sql,15910336,2.764896396,12790350294,10437564,2.785798889,12790350294,15910352,2.741253608,12790350294,15907513,2.822390178,12790350294,1
05.sql,12430890,0.553719231,8228960149,7059511,0.392992292,8228960149,12429850,0.550085351,8228960149,12429850,0.55428827,8228960149,1
06.sql,6007205,0.548296184,3606870098,1893757,0.479530017,3606870098,6007392,0.509737124,3606870098,6007392,0.506457373,3606870098,1
07.sql,12935540,0.544068084,3635326260,3873652,0.243835689,3635326260,12935544,0.504662225,3635326260,12935544,0.520714586,3635326260,1
08.sql,5897185,0.37311465,3607149127,1947008,0.187917743,3607149127,5897185,0.369515699,3607149127,5897185,0.361561525,3607149127,1
09.sql,5912002,1.577054501,54067200075,5913767,1.561130353,54067200075,5912002,1.559194854,54067200075,5912002,1.580140291,54067200075,1
10.sql,7531740,0.314176785,6422875947,4839438,0.273702912,6422875947,7530988,0.298371758,6422875947,7531756,0.302200105,6422875947,1
11.sql,9458361,1.650388363,9182260196,5699593,1.883846548,9182260196,9457609,1.621380585,9182260196,9460234,1.621196842,9182260196,1
12.sql,1723771,0.117176225,983153049,1723206,0.120622693,983153049,1723206,0.117777811,983153049,1723206,0.116146987,983153049,1
13.sql,15588392,0.753916128,3635725127,4349650,0.336775128,3635725127,15588384,0.772588601,3635725127,15588384,0.772093054,3635725127,1
14.sql,12306420,2.134123674,19170217441,9459150,1.851011218,19170217441,12307113,2.101687406,19170217441,12306213,2.115163661,19170217441,1
15.sql,1467798,0.203562277,1804477049,1467798,0.214334041,1804477049,1467798,0.201655324,1804477049,1467798,0.205025873,1804477049,1
16.sql,1646843,0.09960599,3932665049,1646843,0.118531406,3932665049,1646843,0.107159763,3932665049,1646843,0.10314634,3932665049,1
17.sql,12470526,0.480382368,5898499225,4548208,0.287479331,5898499225,12470481,0.470758902,5898499225,12470993,0.444000256,5898499225,1
18.sql,2754867,0.715785006,9329913245,2753969,0.727736734,9329913245,2755196,0.715067994,9329913245,2755956,0.703584351,9329913245,1
19.sql,8672981,1.851899305,3606757127,2050574,1.647987839,3606757127,8672985,1.833330755,3606757127,8672985,1.811954474,3606757127,1
20.sql,1396708,0.119158182,1802353049,1397151,0.110459895,1802353049,1397151,0.099745315,1802353049,1397151,0.105772909,1802353049,1
21.sql,180867,0.055928235,1310833055,180581,0.064312576,1310833055,180871,0.061670344,1310833055,180871,0.068525869,1310833055,1
22.sql,394375,0.817067383,6554165275,394050,0.891416645,6554165275,393538,0.826380886,6554165275,394656,0.803548239,6554165275,1
23.sql,12505832,6.533948236,13605980196,10820106,5.88824296,13605980196,12504309,6.433236065,13605980196,12505442,6.595573531,13605980196,1
