query,dataset,runtime
26.sql,tpch,8772
38.sql,tpch,2834
18.sql,tpch,25470
30.sql,tpch,8813
23.sql,tpch,6593
37.sql,tpch,2122
32.sql,tpch,5700
12.sql,tpch,4952
6.sql,tpch,1899
21.sql,tpch,21795
25.sql,tpch,21956
17.sql,tpch,25261
11.sql,tpch,2662
27.sql,tpch,7884
9.sql,tpch,56282
2.sql,tpch,7189
29.sql,tpch,9330
33.sql,tpch,10441
34.sql,tpch,28095
15.sql,tpch,5377
1.sql,tpch,31189
14.sql,tpch,3018
20.sql,tpch,8333
13.sql,tpch,7265
5.sql,tpch,20402
22.sql,tpch,3637
10.sql,tpch,10224
31.sql,tpch,3818
28.sql,tpch,13622
36.sql,tpch,2391
3.sql,tpch,9055
7.sql,tpch,13044
35.sql,tpch,2875
16.sql,tpch,6784
24.sql,tpch,14166
4.sql,tpch,5846
8.sql,tpch,97207
19.sql,tpch,4357
26.sql,tpch,8088
38.sql,tpch,2708
18.sql,tpch,27267
30.sql,tpch,9222
23.sql,tpch,6537
37.sql,tpch,2125
32.sql,tpch,5789
12.sql,tpch,4908
6.sql,tpch,1392
21.sql,tpch,30845
25.sql,tpch,23725
17.sql,tpch,59369
11.sql,tpch,2589
27.sql,tpch,7474
9.sql,tpch,106873
2.sql,tpch,7251
29.sql,tpch,25519
33.sql,tpch,10023
34.sql,tpch,38877
15.sql,tpch,10366
1.sql,tpch,29167
14.sql,tpch,7387
20.sql,tpch,8658
13.sql,tpch,9850
5.sql,tpch,45582
22.sql,tpch,4095
10.sql,tpch,9646
31.sql,tpch,3720
28.sql,tpch,9604
36.sql,tpch,4067
3.sql,tpch,16261
7.sql,tpch,24120
35.sql,tpch,4297
16.sql,tpch,9247
24.sql,tpch,16003
4.sql,tpch,11774
8.sql,tpch,73388
19.sql,tpch,15223
26.sql,tpch,9133
query64.sql,tpcds,79968
query85.sql,tpcds,5528
query17.sql,tpcds,19126
query131.sql,tpcds,2005
query112.sql,tpcds,2056
query58.sql,tpcds,4866
query36.sql,tpcds,3437
query121.sql,tpcds,2138
query115.sql,tpcds,2504
query20.sql,tpcds,1614
query22.sql,tpcds,3436
query49.sql,tpcds,7517
query83.sql,tpcds,2899
