query,dataset,run_number,listener_nowrite_time
query54.sql,tpcds,2,19.23
query55.sql,tpcds,2,14.53
query56.sql,tpcds,2,17.48
query57.sql,tpcds,2,23.80
query58.sql,tpcds,2,16.21
query59.sql,tpcds,2,17.29
query6.sql,tpcds,2,19.21
query60.sql,tpcds,2,16.89
query61.sql,tpcds,2,13.74
query62.sql,tpcds,2,14.42
query63.sql,tpcds,2,14.82
query64.sql,tpcds,2,51.90
query65.sql,tpcds,2,19.00
query66.sql,tpcds,2,16.97
query67.sql,tpcds,2,8.28
query68.sql,tpcds,2,15.47
query69.sql,tpcds,2,15.93
query7.sql,tpcds,2,16.06
query70.sql,tpcds,2,15.49
query71.sql,tpcds,2,14.57
query72.sql,tpcds,2,34.93
query73.sql,tpcds,2,14.79
query74.sql,tpcds,2,42.42
query75.sql,tpcds,2,41.81
query76.sql,tpcds,2,16.28
query77.sql,tpcds,2,34.77
query78.sql,tpcds,2,38.47
query79.sql,tpcds,2,14.75
query8.sql,tpcds,2,14.45
query80.sql,tpcds,2,32.17
query81.sql,tpcds,2,16.85
query82.sql,tpcds,2,15.40
query83.sql,tpcds,2,15.80
query84.sql,tpcds,2,14.68
query85.sql,tpcds,2,18.05
query86.sql,tpcds,2,14.15
query87.sql,tpcds,2,26.41
query88.sql,tpcds,2,18.12
query89.sql,tpcds,2,15.10
query9.sql,tpcds,2,18.26
query90.sql,tpcds,2,12.95
query91.sql,tpcds,2,12.97
query92.sql,tpcds,2,15.30
query93.sql,tpcds,2,23.48
query94.sql,tpcds,2,19.42
query95.sql,tpcds,2,25.32
query96.sql,tpcds,2,12.29
query97.sql,tpcds,2,18.68
query98.sql,tpcds,2,15.14
query99.sql,tpcds,2,14.08
1.sql,tpch,3,32.62
10.sql,tpch,3,24.32
11.sql,tpch,3,12.17
12.sql,tpch,3,16.74
13.sql,tpch,3,17.74
14.sql,tpch,3,14.50
15.sql,tpch,3,18.01
16.sql,tpch,3,20.27
17.sql,tpch,3,35.96
18.sql,tpch,3,33.75
19.sql,tpch,3,14.90
2.sql,tpch,3,20.59
20.sql,tpch,3,25.14
21.sql,tpch,3,32.74
22.sql,tpch,3,14.56
3.sql,tpch,3,20.52
4.sql,tpch,3,17.91
5.sql,tpch,3,26.08
6.sql,tpch,3,11.70
7.sql,tpch,3,25.81
8.sql,tpch,3,28.81
9.sql,tpch,3,33.39
query1.sql,tpcds,3,16.80
query10.sql,tpcds,3,19.23
query11.sql,tpcds,3,41.59
query12.sql,tpcds,3,14.73
query13.sql,tpcds,3,14.17
query14.sql,tpcds,3,8.51
query15.sql,tpcds,3,14.91
query16.sql,tpcds,3,20.41
query17.sql,tpcds,3,26.65
query18.sql,tpcds,3,14.77
query19.sql,tpcds,3,15.09
query2.sql,tpcds,3,15.90
query20.sql,tpcds,3,13.98
query21.sql,tpcds,3,13.80
query22.sql,tpcds,3,14.48
query23.sql,tpcds,3,8.97
query24.sql,tpcds,3,8.43
query25.sql,tpcds,3,26.42
query26.sql,tpcds,3,14.96
query27.sql,tpcds,3,15.48
query28.sql,tpcds,3,23.97
query29.sql,tpcds,3,27.28
query3.sql,tpcds,3,12.87
query30.sql,tpcds,3,8.46
query31.sql,tpcds,3,23.93
query32.sql,tpcds,3,14.54
query33.sql,tpcds,3,17.04
query34.sql,tpcds,3,15.40
query35.sql,tpcds,3,21.86
query36.sql,tpcds,3,14.84
query37.sql,tpcds,3,14.97
query38.sql,tpcds,3,25.48
query39.sql,tpcds,3,8.37
query4.sql,tpcds,3,59.90
query40.sql,tpcds,3,18.84
query41.sql,tpcds,3,11.30
query42.sql,tpcds,3,12.85
query43.sql,tpcds,3,13.34
query44.sql,tpcds,3,17.14
query45.sql,tpcds,3,14.29
query46.sql,tpcds,3,15.36
query47.sql,tpcds,3,32.92
query48.sql,tpcds,3,14.37
query49.sql,tpcds,3,22.13
query5.sql,tpcds,3,20.97
query50.sql,tpcds,3,20.51
query51.sql,tpcds,3,30.82
query52.sql,tpcds,3,13.70
query53.sql,tpcds,3,14.68
query54.sql,tpcds,3,19.20
query55.sql,tpcds,3,13.55
query56.sql,tpcds,3,16.62
query57.sql,tpcds,3,24.08
query58.sql,tpcds,3,16.97
query59.sql,tpcds,3,18.03
query6.sql,tpcds,3,19.33
query60.sql,tpcds,3,17.61
query61.sql,tpcds,3,13.81
query62.sql,tpcds,3,14.59
query63.sql,tpcds,3,15.20
query64.sql,tpcds,3,50.63
query65.sql,tpcds,3,19.33
query66.sql,tpcds,3,17.16
query67.sql,tpcds,3,8.44
query68.sql,tpcds,3,15.47
query69.sql,tpcds,3,16.09
query7.sql,tpcds,3,15.88
query70.sql,tpcds,3,15.57
query71.sql,tpcds,3,15.52
query72.sql,tpcds,3,33.73
