query,dataset,run_number,listener_register_time
query88.sql,tpcds,7,17.81
query89.sql,tpcds,7,15.53
query9.sql,tpcds,7,18.34
query90.sql,tpcds,7,13.20
query91.sql,tpcds,7,13.17
query92.sql,tpcds,7,14.24
query93.sql,tpcds,7,23.00
query94.sql,tpcds,7,19.02
query95.sql,tpcds,7,25.64
query96.sql,tpcds,7,11.82
query97.sql,tpcds,7,19.02
query98.sql,tpcds,7,14.77
query99.sql,tpcds,7,14.48
1.sql,tpch,8,31.79
10.sql,tpch,8,23.98
11.sql,tpch,8,12.46
12.sql,tpch,8,17.49
13.sql,tpch,8,17.72
14.sql,tpch,8,14.22
15.sql,tpch,8,17.07
16.sql,tpch,8,19.81
17.sql,tpch,8,35.66
18.sql,tpch,8,34.66
19.sql,tpch,8,14.81
2.sql,tpch,8,20.06
20.sql,tpch,8,23.21
21.sql,tpch,8,30.96
22.sql,tpch,8,15.19
3.sql,tpch,8,21.78
4.sql,tpch,8,17.75
5.sql,tpch,8,24.76
6.sql,tpch,8,11.62
7.sql,tpch,8,25.20
8.sql,tpch,8,28.19
9.sql,tpch,8,35.02
query1.sql,tpcds,8,16.93
query10.sql,tpcds,8,19.48
query11.sql,tpcds,8,42.23
query12.sql,tpcds,8,14.81
query13.sql,tpcds,8,13.71
query14.sql,tpcds,8,8.38
query15.sql,tpcds,8,14.61
query16.sql,tpcds,8,20.96
query17.sql,tpcds,8,27.08
query18.sql,tpcds,8,15.30
query19.sql,tpcds,8,14.55
query2.sql,tpcds,8,16.73
query20.sql,tpcds,8,14.66
query21.sql,tpcds,8,14.11
query22.sql,tpcds,8,14.15
query23.sql,tpcds,8,8.72
query24.sql,tpcds,8,8.22
query25.sql,tpcds,8,27.30
query26.sql,tpcds,8,14.89
query27.sql,tpcds,8,15.06
query28.sql,tpcds,8,22.40
query29.sql,tpcds,8,27.77
query3.sql,tpcds,8,13.12
query30.sql,tpcds,8,8.74
query31.sql,tpcds,8,22.40
query32.sql,tpcds,8,14.57
query33.sql,tpcds,8,17.46
query34.sql,tpcds,8,16.83
query35.sql,tpcds,8,22.38
query36.sql,tpcds,8,15.53
query37.sql,tpcds,8,14.15
query38.sql,tpcds,8,26.32
query39.sql,tpcds,8,8.51
query4.sql,tpcds,8,63.27
query40.sql,tpcds,8,19.60
query41.sql,tpcds,8,11.37
query42.sql,tpcds,8,12.77
query43.sql,tpcds,8,13.25
query44.sql,tpcds,8,16.97
query45.sql,tpcds,8,14.04
query46.sql,tpcds,8,15.45
query47.sql,tpcds,8,33.01
query48.sql,tpcds,8,14.87
query49.sql,tpcds,8,21.62
query5.sql,tpcds,8,20.61
query50.sql,tpcds,8,20.83
query51.sql,tpcds,8,30.60
query52.sql,tpcds,8,13.20
query53.sql,tpcds,8,14.70
query54.sql,tpcds,8,19.72
query55.sql,tpcds,8,13.50
query56.sql,tpcds,8,16.48
query57.sql,tpcds,8,23.92
query58.sql,tpcds,8,16.32
query59.sql,tpcds,8,16.96
query6.sql,tpcds,8,19.33
query60.sql,tpcds,8,18.05
query61.sql,tpcds,8,13.66
query62.sql,tpcds,8,14.12
query63.sql,tpcds,8,14.72
query64.sql,tpcds,8,50.11
query65.sql,tpcds,8,20.05
query66.sql,tpcds,8,16.86
query67.sql,tpcds,8,8.14
query68.sql,tpcds,8,15.62
query69.sql,tpcds,8,15.31
query7.sql,tpcds,8,15.73
query70.sql,tpcds,8,16.08
query71.sql,tpcds,8,15.43
query72.sql,tpcds,8,35.02
query73.sql,tpcds,8,15.34
query74.sql,tpcds,8,40.76
query75.sql,tpcds,8,41.64
query76.sql,tpcds,8,15.02
query77.sql,tpcds,8,36.09
query78.sql,tpcds,8,37.00
query79.sql,tpcds,8,14.68
query8.sql,tpcds,8,14.63
query80.sql,tpcds,8,34.24
query81.sql,tpcds,8,17.17
query82.sql,tpcds,8,14.65
query83.sql,tpcds,8,15.10
query84.sql,tpcds,8,14.36
query85.sql,tpcds,8,18.14
query86.sql,tpcds,8,14.15
query87.sql,tpcds,8,25.43
query88.sql,tpcds,8,17.96
query89.sql,tpcds,8,15.29
query9.sql,tpcds,8,18.02
query90.sql,tpcds,8,12.83
query91.sql,tpcds,8,13.18
query92.sql,tpcds,8,15.15
query93.sql,tpcds,8,23.57
query94.sql,tpcds,8,18.49
query95.sql,tpcds,8,25.52
query96.sql,tpcds,8,11.63
query97.sql,tpcds,8,19.56
query98.sql,tpcds,8,14.87
query99.sql,tpcds,8,14.08
1.sql,tpch,9,30.89
10.sql,tpch,9,23.09
11.sql,tpch,9,12.56
12.sql,tpch,9,17.65
13.sql,tpch,9,18.07
14.sql,tpch,9,14.50
15.sql,tpch,9,17.33
16.sql,tpch,9,20.25
17.sql,tpch,9,36.34
18.sql,tpch,9,33.64
19.sql,tpch,9,15.80
2.sql,tpch,9,20.35
20.sql,tpch,9,22.96
21.sql,tpch,9,32.35
22.sql,tpch,9,15.05
3.sql,tpch,9,22.97
4.sql,tpch,9,17.64
5.sql,tpch,9,25.42
6.sql,tpch,9,11.97
7.sql,tpch,9,25.64
8.sql,tpch,9,29.66
9.sql,tpch,9,32.94
query1.sql,tpcds,9,17.26
query10.sql,tpcds,9,18.28
query11.sql,tpcds,9,43.17
query12.sql,tpcds,9,15.24
query13.sql,tpcds,9,14.64
query14.sql,tpcds,9,8.21
query15.sql,tpcds,9,14.13
query16.sql,tpcds,9,20.11
query17.sql,tpcds,9,28.18
query18.sql,tpcds,9,15.73
query19.sql,tpcds,9,15.13
query2.sql,tpcds,9,16.42
query20.sql,tpcds,9,14.71
query21.sql,tpcds,9,14.30
query22.sql,tpcds,9,14.10
query23.sql,tpcds,9,8.63
query24.sql,tpcds,9,8.61
query25.sql,tpcds,9,26.85
query26.sql,tpcds,9,13.93
query27.sql,tpcds,9,15.79
query28.sql,tpcds,9,23.16
query29.sql,tpcds,9,27.53
query3.sql,tpcds,9,12.93
query30.sql,tpcds,9,8.48
query31.sql,tpcds,9,23.68
query32.sql,tpcds,9,14.09
query33.sql,tpcds,9,16.37
query34.sql,tpcds,9,15.61
query35.sql,tpcds,9,20.98
query36.sql,tpcds,9,14.86
query37.sql,tpcds,9,14.13
query38.sql,tpcds,9,24.86
query39.sql,tpcds,9,8.39
query4.sql,tpcds,9,59.03
query40.sql,tpcds,9,19.27
query41.sql,tpcds,9,11.27
query42.sql,tpcds,9,12.25
query43.sql,tpcds,9,13.73
query44.sql,tpcds,9,16.70
query45.sql,tpcds,9,13.55
query46.sql,tpcds,9,14.69
query47.sql,tpcds,9,33.39
query48.sql,tpcds,9,14.31
query49.sql,tpcds,9,22.21
query5.sql,tpcds,9,20.28
query50.sql,tpcds,9,19.91
query51.sql,tpcds,9,30.14
query52.sql,tpcds,9,13.28
query53.sql,tpcds,9,14.54
query54.sql,tpcds,9,20.20
query55.sql,tpcds,9,14.34
query56.sql,tpcds,9,16.44
query57.sql,tpcds,9,24.28
query58.sql,tpcds,9,17.50
query59.sql,tpcds,9,17.59
query6.sql,tpcds,9,18.42
query60.sql,tpcds,9,17.46
query61.sql,tpcds,9,13.49
query62.sql,tpcds,9,14.01
query63.sql,tpcds,9,14.51
query64.sql,tpcds,9,51.17
query65.sql,tpcds,9,19.32
query66.sql,tpcds,9,17.39
query67.sql,tpcds,9,8.42
query68.sql,tpcds,9,15.49
query69.sql,tpcds,9,15.42
query7.sql,tpcds,9,16.05
query70.sql,tpcds,9,16.19
query71.sql,tpcds,9,15.13
query72.sql,tpcds,9,35.68
query73.sql,tpcds,9,13.95
query74.sql,tpcds,9,41.64
query75.sql,tpcds,9,41.27
query76.sql,tpcds,9,15.03
query77.sql,tpcds,9,35.94
query78.sql,tpcds,9,39.22
query79.sql,tpcds,9,15.01
query8.sql,tpcds,9,14.62
query80.sql,tpcds,9,33.13
query81.sql,tpcds,9,16.63
query82.sql,tpcds,9,14.78
query83.sql,tpcds,9,15.57
query84.sql,tpcds,9,14.22
query85.sql,tpcds,9,17.82
query86.sql,tpcds,9,14.18
query87.sql,tpcds,9,25.54
query88.sql,tpcds,9,17.73
query89.sql,tpcds,9,14.81
query9.sql,tpcds,9,17.86
query90.sql,tpcds,9,13.63
query91.sql,tpcds,9,12.63
query92.sql,tpcds,9,13.96
query93.sql,tpcds,9,24.09
query94.sql,tpcds,9,18.51
query95.sql,tpcds,9,25.76
query96.sql,tpcds,9,12.17
query97.sql,tpcds,9,17.73
query98.sql,tpcds,9,15.23
query99.sql,tpcds,9,13.61
