query_id,bytes_vod,t_vod,rows_vod,bytes_freq,t_freq,rows_freq,bytes_random,t_random,rows_random,bytes_plain,t_plain,rows_plain,value
48.sql,3578031,0.380034999,3635717927,3579567,0.345890412,3635717927,11437587,0.635892777,3635717927,11437587,0.624514626,3635717927,1
49.sql,7582597,0.324612005,7245908327,7581573,0.345361273,7245908327,15527822,0.557196678,7245908327,15527893,0.555241934,7245908327,1
50.sql,8189506,0.471564321,4096146176,8189506,0.452413042,4096146176,9344731,0.493087654,4096146176,9344731,0.491455425,4096146176,1
51.sql,4153121,2.696728201,4587666098,4153377,2.672015182,4587666098,7669089,3.906129315,4587666098,7669601,3.930526211,4587666098,1
52.sql,1928709,0.076612382,3604593049,1928709,0.078063991,3604593049,5970783,0.235060996,3604593049,5970783,0.231668435,3604593049,1
53.sql,2707234,0.159663615,3604593127,2707234,0.162344143,3604593127,7252674,0.329471328,3604593127,7252674,0.302823707,3604593127,1
54.sql,5108029,0.237494877,6392256274,5108357,0.238621109,6392256274,9154227,0.361681583,6392256274,9154995,0.372305918,6392256274,1
55.sql,1923896,0.070377233,3604593049,1924408,0.090150118,3604593049,5970783,0.22827524,3604593049,5970783,0.251861263,3604593049,1
56.sql,5317562,0.266405289,6391515147,5317237,0.287339153,6391515147,10802881,0.390376397,6391515147,10801294,0.412384868,6391515147,1
57.sql,2021101,0.393640928,1802353055,2022637,0.420973342,1802353055,2021613,0.372195537,1802353055,2022381,0.415157034,1802353055,1
58.sql,4929426,0.289437418,6390537441,4930450,0.281902496,6390537441,9048017,0.37586213,6390537441,9048017,0.399356997,6390537441,1
59.sql,4835046,0.515696631,3604699303,4833973,0.517742039,3604699303,5863864,0.756812738,3604699303,5865513,0.760445041,3604699303,1
60.sql,5413796,0.268828338,6391515147,5414672,0.260046309,6391515147,10842134,0.391074981,6391515147,10842576,0.390396346,6391515147,1
61.sql,2098166,0.245457495,7213514665,2097425,0.229651418,7213514665,10057907,0.636430105,7213514665,10058890,0.636170471,7213514665,1
62.sql,2315777,0.184337654,983113101,2315777,0.165566518,983113101,2315777,0.168827579,983113101,2315777,0.153454293,983113101,1
63.sql,2706193,0.147801411,3604593127,2707729,0.143510076,3604593127,7252657,0.292217584,3604593127,7252657,0.283458017,3604593127,1
64.sql,12291006,0.848146111,6290255676,12290238,0.83638187,6290255676,22782793,1.147171691,6290255676,22782793,1.090184419,6290255676,1
65.sql,2690474,0.52961473,7209146176,2689194,0.525668514,7209146176,7253980,0.844996675,7209146176,7253724,0.854573391,7209146176,1
66.sql,5309134,0.274939436,2785598950,5309148,0.275740369,2785598950,5310090,0.235092112,2785598950,5309565,0.247599646,2785598950,1
67.sql,2966219,2.598550687,3604593127,2965451,2.638139213,3604593127,8593199,2.935269534,3604593127,8593199,2.905176908,3604593127,1
68.sql,8100448,0.45717228,3607156327,8099424,0.446108594,3607156327,14212565,0.59825056,3607156327,14215125,0.622208631,3607156327,1
69.sql,4789906,0.258609578,6422875947,4790861,0.267245673,6422875947,7497960,0.32137866,6422875947,7497960,0.316776569,6422875947,1
70.sql,2432960,0.386175106,7209106254,2431424,0.372772678,7209106254,5861472,0.634066974,7209106254,5861728,0.620271459,7209106254,1
71.sql,5471486,0.353800252,6390105547,5472122,0.329748376,6390105547,10862398,0.481734231,6390105547,10860984,0.536400557,6390105547,1
72.sql,7515284,0.848966609,3471639564,7515284,0.825137054,3471639564,7515279,0.807819061,3471639564,7515279,0.80190056,3471639564,1
73.sql,5085066,0.229456298,3606292327,5085066,0.220536916,3606292327,8674300,0.298695778,3606292327,8674300,0.290999827,3606292327,1
74.sql,4804650,1.246858141,9182260196,4805569,1.21128986,9182260196,7708138,1.195899016,9182260196,7707370,1.162154165,9182260196,1
75.sql,10320809,0.951540771,7246028327,10320593,0.915867132,7246028327,14907730,1.043441329,7246028327,14908137,1.072958421,7246028327,1
76.sql,12230082,0.455644711,6390099147,12229974,0.453678548,6390099147,13324047,0.478105119,6390099147,13323627,0.486435991,6390099147,1
77.sql,6436191,0.341871464,7246128566,6435935,0.340398983,7246128566,11760596,0.474113131,7246128566,11759828,0.483947665,7246128566,1
78.sql,9698559,1.559571823,7245908327,9698559,1.55321658,7245908327,17645539,1.718894584,7245908327,17645539,1.773790098,7245908327,1
79.sql,7602886,0.36113843,3606292327,7602886,0.346501882,3606292327,12810172,0.533452041,3606292327,12810172,0.528020734,3606292327,1
80.sql,7848328,0.476771566,7246041382,7847304,0.430597042,7246041382,17229565,0.733364948,7246041382,17228797,0.750864861,7246041382,1
81.sql,325206,0.209437797,330349049,325206,0.203226435,330349049,325206,0.225039629,330349049,325206,0.192410507,330349049,1
82.sql,3307795,0.151566274,4915313049,3307795,0.158847415,4915313049,3363646,0.161678513,4915313049,3363902,0.160271639,4915313049,1
83.sql,907086,0.099633227,856706621,907342,0.106440349,856706621,907293,0.087759046,856706621,907037,0.099575548,856706621,1
84.sql,415359,0.103717972,524424020,415359,0.10268921,524424020,412939,0.092506746,524424020,412939,0.098692115,524424020,1
85.sql,3503817,0.559283645,1081740372,3503817,0.550803934,1081740372,3503817,0.525866615,1081740372,3503817,0.534613447,1081740372,1
86.sql,1720390,0.140030499,983153049,1720390,0.139971935,983153049,1720390,0.148292512,983153049,1720390,0.142209448,983153049,1
87.sql,5193032,0.647234352,6395175147,5191240,0.656162313,6395175147,7592584,0.690641442,6395175147,7592840,0.728375775,6395175147,1
88.sql,5861981,1.252653912,28836589424,5863116,1.24787504,28836589424,5860648,1.243960687,28836589424,5860468,1.239416861,28836589424,1
89.sql,2702300,0.167645484,3604593127,2701788,0.157260448,3604593127,7252422,0.311297365,3604593127,7252422,0.308866055,3604593127,1
90.sql,1716206,0.115314789,1966268136,1716398,0.126155303,1966268136,1716646,0.110755746,1966268136,1716795,0.118939895,1966268136,1
91.sql,300007,0.083687165,360657055,300007,0.101574128,360657055,300002,0.100663065,360657055,301282,0.10941741,360657055,1
92.sql,1719770,0.145479757,1966266098,1719770,0.157835864,1966266098,1719770,0.14038158,1966266098,1721050,0.136993151,1966266098,1
93.sql,9382999,0.584445459,4096000075,9382999,0.594855643,4096000075,9381031,0.58515925,4096000075,9381031,0.581361813,4096000075,1
94.sql,3130655,0.187173901,2003314255,3130655,0.187846713,2003314255,3130655,0.181705762,2003314255,3130655,0.187958623,2003314255,1
95.sql,3130655,1.411820729,4952434255,3130655,1.454346559,4952434255,3130655,1.420313099,4952434255,3130655,1.408022503,4952434255,1
96.sql,5861969,0.18403434,3604573678,5861969,0.167547468,3604573678,5860212,0.163318167,3604573678,5860212,0.171218108,3604573678,1
97.sql,4204390,0.488122691,5406866098,4204390,0.495090253,5406866098,7722918,0.603233839,5406866098,7721638,0.611492588,5406866098,1
98.sql,1858082,0.210660049,3604593049,1858338,0.194802007,3604593049,5972217,0.316160255,3604593049,5972217,0.295661822,3604593049,1
99.sql,2291180,0.195435847,1802313081,2291180,0.188304827,1802313081,2291948,0.180978317,1802313081,2292716,0.185193682,1802313081,1
