query_id,bytes_vod,t_vod,rows_vod,bytes_freq,t_freq,rows_freq,bytes_random,t_random,rows_random,bytes_plain,t_plain,rows_plain,value
01.sql,742781,0.38702506,493325127,742781,0.142157633,493325127,742493,0.132507736,493325127,742493,0.153104865,493325127,1
02.sql,4039509,0.958691174,2785499147,4038997,0.504088602,2785499147,4038997,0.497574206,2785499147,4038997,0.507491636,2785499147,1
03.sql,4935483,0.211947003,3604593049,4935739,0.198063977,3604593049,5971540,1.298127061,3604593049,5971540,0.274685156,3604593049,1
04.sql,10447873,4.053857827,12790350294,10437113,2.798607519,12790350294,15907920,3.994844386,12790350294,15907513,2.822390178,12790350294,1
05.sql,7058999,0.815112167,8228960149,7058999,0.386694162,8228960149,12429850,0.930108962,8228960149,12429850,0.55428827,8228960149,1
06.sql,1893757,0.62742291,3606870098,1893757,0.458649873,3606870098,6007392,0.521448267,3606870098,6007392,0.506457373,3606870098,1
07.sql,3872884,0.297084153,3635326260,3872884,0.236426106,3635326260,12935544,1.378597381,3635326260,12935544,0.520714586,3635326260,1
08.sql,1947008,0.181849477,3607149127,1947008,0.1729883,3607149127,5897185,0.37925161,3607149127,5897185,0.361561525,3607149127,1
09.sql,5913767,1.555650773,54067200075,5913767,1.548578186,54067200075,5912002,2.303999397,54067200075,5912002,1.580140291,54067200075,1
10.sql,4839509,0.258019955,6422875947,4839694,0.253758155,6422875947,7531446,0.304575758,6422875947,7531756,0.302200105,6422875947,1
11.sql,5703489,1.883362106,9182260196,5699337,1.845295854,9182260196,9457609,1.60202819,9182260196,9460234,1.621196842,9182260196,1
12.sql,1723206,0.115856675,983153049,1723206,0.130358976,983153049,1723206,0.112997785,983153049,1723206,0.116146987,983153049,1
13.sql,4348626,0.333533146,3635725127,4347602,0.372896401,3635725127,15588384,0.771471372,3635725127,15588384,0.772093054,3635725127,1
14.sql,9459406,2.69856142,19170217441,9460776,1.848922057,19170217441,12306725,2.08493408,19170217441,12306213,2.115163661,19170217441,1
