,query,dataset,runtime
196,8.sql,tpch,12381773
197,10.sql,tpch,2861514
198,3.sql,tpch,3564069
199,26.sql,tpch,361490
200,17.sql,tpch,11269030
201,1.sql,tpch,1277056
202,14.sql,tpch,1617209
203,36.sql,tpch,1423827
204,29.sql,tpch,3194109
205,7.sql,tpch,4485292
206,26.sql,tpch,358753
207,3.sql,tpch,3583762
208,24.sql,tpch,400291
209,8.sql,tpch,11699147
210,13.sql,tpch,1183048
211,5.sql,tpch,9160040
212,28.sql,tpch,2997295
213,35.sql,tpch,1420958
214,16.sql,tpch,180796
215,19.sql,tpch,1924357
216,18.sql,tpch,11503066
217,21.sql,tpch,17388174
218,10.sql,tpch,3417986
219,7.sql,tpch,4618453
220,24.sql,tpch,378257
221,1.sql,tpch,1279046
222,20.sql,tpch,2449424
223,28.sql,tpch,3653796
224,35.sql,tpch,1430396
225,26.sql,tpch,398813
226,29.sql,tpch,3484223
227,14.sql,tpch,1635583
228,13.sql,tpch,1262573
229,31.sql,tpch,373832
230,36.sql,tpch,1420677
231,3.sql,tpch,4163280
232,16.sql,tpch,241817
233,4.sql,tpch,1642415
234,8.sql,tpch,12669363
235,19.sql,tpch,1934762
236,17.sql,tpch,11682957
237,15.sql,tpch,3097043
238,5.sql,tpch,10225615
239,22.sql,tpch,302210
240,33.sql,tpch,401704.0
241,34.sql,tpch,428268.0
242,33.sql,tpch,454092.0
243,6.sql,tpch,1077893.0
244,2.sql,tpch,862670.0
245,1.sql,tpch,1271315.0
246,5.sql,tpch,10103550.0
247,3.sql,tpch,3377998.0
248,7.sql,tpch,4387947.0
249,4.sql,tpch,1755886.0
250,12.sql,tpch,1380023.0
251,11.sql,tpch,499133.0
252,9.sql,tpch,16901204.0
253,14.sql,tpch,1580677.0
254,13.sql,tpch,1214489.0
255,10.sql,tpch,3065791.0
256,8.sql,tpch,13371271.0
257,30.sql,tpch,3642354.0
258,23.sql,tpch,361443.0
259,37.sql,tpch,1420669.0
260,32.sql,tpch,431749.0
261,12.sql,tpch,1533068.0
262,6.sql,tpch,1099440.0
263,21.sql,tpch,17667196.0
264,25.sql,tpch,378771.0
265,17.sql,tpch,13590528.0
266,11.sql,tpch,1385681.0
267,27.sql,tpch,3865585.0
268,9.sql,tpch,24835951.0
269,2.sql,tpch,1074288.0
270,29.sql,tpch,3383261.0
271,30.sql,tpch,2733674.0
272,23.sql,tpch,406452.0
273,37.sql,tpch,1428421.0
274,32.sql,tpch,458452.0
275,12.sql,tpch,1496969.0
276,6.sql,tpch,1106708.0
277,21.sql,tpch,14404861.0
278,25.sql,tpch,389013.0
279,17.sql,tpch,10474304.0
280,11.sql,tpch,949688.0
281,27.sql,tpch,3202518.0
